•4K「IPV4」,#genre#
中天新聞,https://tv.iill.top/litv/4gtv-4gtv009
中視,https://tv.iill.top/litv/4gtv-4gtv040
中視新聞,https://tv.iill.top/litv/4gtv-4gtv074
中視經典,https://tv.iill.top/litv/4gtv-4gtv080
亞洲旅遊,https://tv.iill.top/litv/4gtv-4gtv076
靖天卡通,https://tv.iill.top/litv/4gtv-4gtv044
靖天國際,https://tv.iill.top/litv/4gtv-4gtv063
靖天戲劇,https://tv.iill.top/litv/4gtv-4gtv058
靖天日本,https://tv.iill.top/litv/4gtv-4gtv047
靖天映畫,https://tv.iill.top/litv/4gtv-4gtv055
靖天歡樂,https://tv.iill.top/litv/4gtv-4gtv054
靖天綜合,https://tv.iill.top/litv/4gtv-4gtv046
靖天育樂,https://tv.iill.top/litv/4gtv-4gtv062
靖天資訊,https://tv.iill.top/litv/4gtv-4gtv065
靖天電影,https://tv.iill.top/litv/4gtv-4gtv061
靖洋卡通,https://tv.iill.top/litv/4gtv-4gtv057
靖洋戲劇,https://tv.iill.top/litv/4gtv-4gtv045
龍華偶像,https://tv.iill.top/litv/litv-longturn12
龍華卡通,https://tv.iill.top/litv/litv-longturn01
龍華戲劇,https://tv.iill.top/litv/litv-longturn18
龍華日韓,https://tv.iill.top/litv/litv-longturn11
龍華經典,https://tv.iill.top/litv/litv-longturn21
龍華電影,https://tv.iill.top/litv/litv-longturn03
八大精彩,https://tv.iill.top/litv/4gtv-4gtv034
八大綜藝,https://tv.iill.top/litv/4gtv-4gtv039
公視戲劇,https://tv.iill.top/litv/4gtv-4gtv042
台灣戲劇,https://tv.iill.top/litv/litv-longturn22
台視,https://tv.iill.top/litv/4gtv-4gtv066
台視新聞,https://tv.iill.top/litv/4gtv-4gtv051
台視財經,https://tv.iill.top/litv/4gtv-4gtv056
客家電視,https://tv.iill.top/litv/4gtv-4gtv043
寰宇新聞,https://tv.iill.top/litv/litv-longturn14
寰宇新聞台灣,https://tv.iill.top/litv/4gtv-4gtv156
寰宇財經,https://tv.iill.top/litv/4gtv-4gtv158
華視,https://tv.iill.top/litv/4gtv-4gtv041
華視新聞台,https://tv.iill.top/litv/4gtv-4gtv052
民視,https://tv.iill.top/litv/4gtv-4gtv002
民視台灣,https://tv.iill.top/litv/4gtv-4gtv001
民視影劇,https://tv.iill.top/litv/litv-ftv09
民視新聞,https://tv.iill.top/litv/litv-ftv13
民視旅遊,https://tv.iill.top/litv/litv-ftv07
民視第一,https://tv.iill.top/litv/4gtv-4gtv003
民視綜藝,https://tv.iill.top/litv/4gtv-4gtv004
非凡商業,https://tv.iill.top/litv/4gtv-4gtv048
非凡新聞,https://tv.iill.top/litv/4gtv-4gtv010
鏡電視新聞,https://tv.iill.top/litv/4gtv-4gtv075
AMC 最愛電影,https://tv.iill.top/litv/4gtv-4gtv017
Arirang TV,https://tv.iill.top/litv/4gtv-4gtv079
Bloomberg TV,https://tv.iill.top/4gtv/283
CI 罪案偵查頻道,https://tv.iill.top/4gtv/215
CNBC Asia 財經,https://tv.iill.top/4gtv/235
CinemaWorld,https://tv.iill.top/4gtv/225
Classica 古典樂,https://tv.iill.top/litv/4gtv-4gtv059
